Interval,Transfer,Bandwidth
0,143,1200
1,119,999
2,53.8,451
3,53.9,452
4,52.5,440
5,53.5,449
6,53.8,451
7,52.4,439
8,54,453
9,52.4,439
10,53.4,448
11,51.9,435
12,53.1,446
13,53.6,450
14,52.8,442
15,53.8,451
16,53.1,446
17,53.6,450
18,53.8,451
19,52.4,439
20,53.5,449
21,52.6,441
22,54.4,456
23,52.9,444
24,52.6,441
25,53.8,451
26,53.2,447
27,53.1,446
28,52.8,442
29,53.6,450
30,53.4,448
31,53.8,451
32,53.4,448
33,53.1,446
34,53.8,451
35,53.2,447
36,53,445
37,52.5,440
38,54.1,454
39,52.4,439
40,54,453
41,52.9,444
42,53.1,446
43,53.6,450
44,52.9,444
45,54,453
46,52.5,440
47,54.1,454
48,53.6,450
49,53.2,447
50,52.5,440
51,53.2,447
52,53,445
53,53.4,448
54,53.4,448
55,52.9,444
56,54.4,456
57,53.1,446
58,52.9,444
59,53.8,451
60,53.4,448
61,52.5,440
62,53.9,452
63,52.8,442
64,54,453
65,52.2,438
66,53.1,446
67,53.9,452
68,53.4,448
69,52.6,441
70,54.5,457
71,52.1,437
72,54.1,454
73,52.5,440
74,54,453
75,53,445
76,52.9,444
77,53.2,447
78,53.5,449
79,54,453
80,53.1,446
81,53.2,447
82,53.5,449
83,52.9,444
84,53.5,449
85,53.2,447
86,52.4,439
87,53.5,449
88,53.2,447
89,53.9,452
90,52.2,438
91,53.5,449
92,53.2,447
93,54.4,456
94,53.1,446
95,52.6,441
96,53.6,450
97,53.5,449
98,53.5,449
99,52.9,444
100,52.6,441
101,53.4,448
102,53.5,449
103,52.9,444
104,53.1,446
105,54.4,456
106,52.9,444
107,53.2,447
108,53.1,446
109,53.4,448
110,53.6,450
111,52.9,444
112,53,445
113,54,453
114,52.2,438
115,54.5,457
116,52.4,439
117,54,453
118,53.1,446
119,53.6,450
120,53.1,446
121,52.8,442
122,52.8,442
123,53.2,447
124,53.9,452
125,53.2,447
126,53.5,449
