Interval,Transfer,Bandwidth
0,143,1200
1,115,967
2,54.2,455
3,52.2,438
4,54.4,456
5,52.5,440
6,53.1,446
7,53.6,450
8,52.9,444
9,53.5,449
10,52.9,444
11,54.4,456
12,53.1,446
13,52.5,440
14,53.1,446
15,54,453
16,53.2,447
17,53.8,451
18,53,445
19,53,445
20,53.8,451
21,52.1,437
22,53.4,448
23,53.2,447
24,54.4,456
25,53.1,446
26,53.4,448
27,52.2,438
28,53.8,451
29,53.1,446
30,53.8,451
31,52.6,441
32,53.2,447
33,53.5,449
34,53.1,446
35,53.8,451
36,52.9,444
37,54,453
38,52.4,439
39,53.4,448
40,53.2,447
41,53.6,450
42,52.6,441
43,54.2,455
44,53,445
45,53,445
46,53.8,451
47,53,445
48,53.1,446
49,53.5,449
50,52.9,444
51,53.6,450
52,53.4,448
53,52.8,442
54,53.8,451
55,53,445
56,52.9,444
57,54.2,455
58,53.1,446
59,53.5,449
60,52.5,440
61,53.8,451
62,53.2,447
63,52.5,440
64,53.9,452
65,53.4,448
66,52.8,442
67,53.5,449
68,54.1,454
69,52.5,440
70,53,445
71,54.1,454
72,52.5,440
73,53.2,447
74,54.1,454
75,52.4,439
76,53.4,448
77,54,453
78,53.2,447
79,52.9,444
80,53.2,447
81,53.2,447
82,53.6,450
83,52.9,444
84,52.8,442
85,54.1,454
86,52.9,444
87,53.4,448
88,53.5,449
89,52.9,444
90,53.1,446
91,53.4,448
92,53.1,446
93,54.2,455
94,52.5,440
95,53.9,452
96,53.5,449
97,52.9,444
98,53,445
99,53.4,448
100,53.1,446
101,53.9,452
102,53,445
103,52.5,440
104,54.1,454
105,53.2,447
106,53.1,446
107,53.2,447
108,53.2,447
109,53.4,448
110,53,445
111,54,453
112,52.4,439
113,54.1,454
114,53.2,447
115,53,445
116,52.8,442
117,53.2,447
118,53.2,447
119,53.9,452
120,53.2,447
121,52.8,442
122,53.2,447
123,53.9,452
124,52.8,442
125,53.2,447
126,53,445
127,53.6,450
128,53.9,452
129,53.2,447
130,53.4,448
131,52.4,439
132,53,445
133,53.9,452
134,52.8,442
135,53.4,448
136,53.1,446
137,53.4,448
138,53.9,452
139,52.8,442
140,53.8,451
141,53.2,447
142,53.5,449
143,53,445
144,53.5,449
145,53,445
146,53,445
147,54.2,455
148,52.9,444
149,52.8,442
150,54.2,455
151,52.9,444
152,52.4,439
153,53.8,451
154,53.8,451
155,52.4,439
156,53.4,448
157,54.2,455
158,52.8,442
159,52.6,441
160,54.1,454
161,52.8,442
162,53.4,448
163,53.8,451
164,53.4,448
165,53.4,448
166,52.6,441
167,53.5,449
168,54,453
169,51.9,435
170,54.5,457
171,52.9,444
172,53.8,451
173,52,436
174,54.2,455
175,53.5,449
176,52.6,441
177,52.9,444
178,54.4,456
179,52.1,437
180,54.4,456
181,52.8,442
182,52.8,442
183,54.2,455
184,52.2,438
185,53.8,451
186,53,445
187,54.1,454
188,52.1,437
189,54.2,455
190,52.2,438
191,53.8,451
192,53.8,451
193,52.6,441
194,53.2,447
195,53.1,446
196,53.2,447
197,53.1,446
198,53.9,452
199,53.1,446
200,53,445
201,53.2,447
202,53.8,451
203,53.1,446
204,53.9,452
205,52.6,441
206,53.8,451
207,53.5,449
208,53.4,448
209,52.5,440
210,53,445
211,53.4,448
212,54.1,454
213,52.5,440
214,53.4,448
215,54,453
216,52.8,442
217,52.9,444
218,53.1,446
219,54,453
220,52.6,441
221,53.4,448
222,53.2,447
223,53.2,447
224,53.5,449
225,53.2,447
226,54,453
227,53,445
228,52.8,442
229,54,453
230,52.8,442
231,53,445
232,53.5,449
233,52.9,444
234,53.5,449
235,53.2,447
236,53.8,451
237,53.6,450
238,53.1,446
239,53.5,449
240,52.4,439
241,53.9,452
242,53.5,449
243,52.8,442
244,53.4,448
245,53.4,448
246,52.6,441
247,53.2,447
248,53.1,446
249,53.6,450
250,53.1,446
251,53.2,447
252,54.4,456
253,52.6,441
254,53.5,449
255,53.5,449
256,52.2,438
257,53.5,449
258,54.1,454
259,53,445
260,53.5,449
261,52.2,438
262,54.4,456
263,53,445
264,53,445
265,53.1,446
266,53.9,452
267,53.2,447
268,52.9,444
269,53.1,446
270,53.4,448
271,53,445
272,53.5,449
273,52.9,444
274,54.1,454
275,52.9,444
276,54,453
277,52.2,438
278,53.2,447
279,53.6,450
280,53.9,452
281,53.1,446
282,52.5,440
283,53.2,447
284,53,445
285,53.6,450
286,53.4,448
287,53.2,447
288,53,445
289,54.2,455
290,52.2,438
291,53.4,448
292,53.8,451
293,53.8,451
294,52.5,440
295,54,453
296,53.2,447
297,53.1,446
298,53.4,448
299,52.4,439
300,53.9,452
301,52.9,444
302,53.9,452
303,53.1,446
304,53,445
305,52.8,442
306,54.1,454
307,52.6,441
308,54.1,454
309,52.9,444
310,53.6,450
311,53,445
312,53.9,452
313,52.1,437
314,53.5,449
315,54,453
316,53.2,447
317,52.4,439
318,54.1,454
319,52.9,444
320,53.5,449
321,52.6,441
322,53.1,446
323,54.2,455
324,53.2,447
325,52.5,440
326,54.1,454
327,52.8,442
328,52.8,442
329,53.4,448
330,53.8,451
331,52.8,442
332,54.1,454
333,53.5,449
334,53.1,446
335,53.4,448
336,52.5,440
337,53.5,449
338,53.8,451
339,53.1,446
340,53,445
341,53.8,451
342,52.4,439
343,54.2,455
344,53.1,446
345,52.4,439
346,53.2,447
347,53.4,448
348,53.2,447
349,54,453
350,53.5,449
351,53.2,447
352,52.4,439
353,54.1,454
354,52.9,444
355,53.6,450
356,53.4,448
357,52.2,438
358,54.1,454
359,52.6,441
360,54.1,454
361,53,445
362,52.9,444
363,53.4,448
364,53,445
365,53.9,452
366,52.9,444
367,52.9,444
368,53.1,446
369,53.6,450
370,53.1,446
371,53.8,451
372,53.2,447
373,53.1,446
374,53,445
375,53.1,446
376,53.6,450
377,53.9,452
378,53.1,446
379,53.5,449
380,53,445
381,53,445
382,52.9,444
383,53.4,448
384,53.2,447
385,54.2,455
386,52,436
387,53.4,448
388,53.5,449
389,53,445
390,53.6,450
391,53,445
392,53.6,450
393,52.9,444
394,54.5,457
395,53.1,446
396,52.9,444
397,52.9,444
398,53.4,448
399,53.5,449
400,52.9,444
401,53.4,448
402,53.1,446
403,53.8,451
404,53.9,452
405,52.9,444
406,52.8,442
407,52.9,444
408,54.1,454
409,53.6,450
410,52.2,438
411,54.4,456
412,52.6,441
413,53.2,447
414,53,445
415,53.1,446
416,53.8,451
417,53.9,452
418,52,436
419,54.5,457
420,53,445
421,53.1,446
422,53.4,448
423,53,445
424,53.1,446
425,54.1,454
426,52.4,439
427,53,445
428,54.1,454
429,52.6,441
430,53,445
431,54.5,457
432,52.6,441
433,53.4,448
434,53.8,451
435,51.8,434
436,53.8,451
437,54.2,455
438,52.9,444
439,52.8,442
440,53.1,446
441,54.4,456
442,52.6,441
443,54,453
444,52.6,441
445,53.9,452
446,52.6,441
447,53.8,451
448,52.9,444
449,53.4,448
450,52.6,441
451,54.5,457
452,52.8,442
453,53.8,451
454,53.2,447
455,53.2,447
456,53,445
457,53.4,448
458,52.5,440
459,53.8,451
460,52.9,444
461,53.5,449
462,53.1,446
463,53.8,451
464,53,445
465,53.6,450
466,53.2,447
467,53.1,446
468,52.6,441
469,54.1,454
470,52.6,441
471,53.6,450
472,53.1,446
473,53.6,450
474,53.2,447
475,53,445
476,53.1,446
477,53.6,450
478,52.9,444
479,53.5,449
480,53,445
481,53.9,452
482,53.4,448
483,53.5,449
484,52.9,444
485,53.1,446
486,53.6,450
487,52.6,441
488,52.9,444
489,53.5,449
490,53.9,452
491,53.2,447
492,53.5,449
493,52.2,438
494,54,453
495,52.5,440
496,53.5,449
497,53.8,451
498,53,445
499,54,453
500,53.2,447
501,53.2,447
502,52.5,440
503,53.5,449
504,53.1,446
505,53.8,451
506,53.1,446
507,52.9,444
508,53,445
509,54,453
510,53,445
511,53.9,452
512,53.2,447
513,52.2,438
514,53.4,448
515,53.2,447
516,53.6,450
517,53.5,449
518,53.9,452
519,52.2,438
520,53.5,449
521,54,453
522,52.1,437
523,54.5,457
524,53.2,447
525,53.1,446
526,52.9,444
527,53.5,449
528,52.6,441
529,54.1,454
530,53.1,446
531,52.4,439
532,53.4,448
533,53.1,446
534,54.4,456
535,53,445
536,53.4,448
537,53.1,446
538,52.9,444
539,53.2,447
540,53.6,450
541,53.5,449
542,53.2,447
543,52.8,442
544,53.2,447
545,53.1,446
546,53.1,446
547,53.4,448
548,53.1,446
549,53.4,448
550,53.6,450
551,53.2,447
552,53.4,448
553,53.4,448
554,53.9,452
555,52.6,441
556,53.1,446
557,53.6,450
558,53.4,448
559,52.5,440
560,54,453
561,52.9,444
562,52.8,442
563,53.9,452
564,52.9,444
565,54.4,456
566,53.1,446
567,53.1,446
568,52.2,438
569,54.2,455
570,53.4,448
571,52.8,442
572,53.6,450
573,53.4,448
574,52.2,438
575,53.6,450
576,53.1,446
577,53,445
578,53.8,451
579,53.4,448
580,53.5,449
581,53,445
582,53,445
583,53.9,452
584,53.8,451
585,53.2,447
586,52,436
587,54.2,455
588,53.1,446
589,52.9,444
590,53.1,446
591,53.6,450
592,53,445
593,53.9,452
594,53,445
595,53,445
596,54.1,454
597,53.2,447
598,53.2,447
599,53.1,446
600,53.2,447
601,53.4,448
602,53.1,446
603,52.9,444
604,53.9,452
605,53.1,446
606,52.9,444
607,52.8,442
608,54.1,454
609,53.1,446
610,53.4,448
611,53.5,449
612,53.2,447
613,53.1,446
614,53.4,448
615,53.5,449
616,52.1,437
617,53.1,446
618,53.5,449
619,53.6,450
620,53,445
621,53.1,446
622,53.9,452
623,53.9,452
624,52.9,444
625,53,445
626,53.6,450
627,53.2,447
628,52.9,444
629,53.1,446
630,53,445
631,53.2,447
632,54.1,454
633,52.9,444
634,52.9,444
635,53.2,447
636,53.5,449
637,54.1,454
638,52.8,442
639,53.5,449
640,53.5,449
641,52.5,440
642,52.9,444
643,54.5,457
644,52.8,442
645,53.9,452
646,52.4,439
647,53.2,447
648,54.1,454
649,52,436
650,53.5,449
651,53.1,446
652,54.4,456
653,53,445
654,53.6,450
655,52.5,440
656,52.8,442
657,53.4,448
658,53.9,452
659,52.8,442
660,53.1,446
661,53.9,452
662,52.9,444
663,53.5,449
664,53.5,449
665,52.9,444
666,54.1,454
667,52.2,438
668,54,453
669,53.4,448
670,53.6,450
671,52.5,440
672,53.1,446
673,54,453
674,52.5,440
675,53.5,449
676,53.6,450
677,53,445
678,53.4,448
679,53.5,449
680,52.6,441
681,53.2,447
682,53.9,452
683,53.2,447
684,53.1,446
685,53.4,448
686,52.6,441
687,53.6,450
688,52.9,444
689,53.2,447
690,53.6,450
