Interval,Transfer,Bandwidth
0, 332.0, 2790.0
1, 204.0, 1710.0
2, 88.0, 738.0
3, 89.5, 751.0
4, 86.6, 727.0
5, 90.1, 756.0
6, 88.8, 744.0
7, 89.5, 751.0
8, 88.4, 741.0
9, 89.0, 747.0
10, 88.0, 738.0
11, 88.6, 743.0
12, 89.1, 748.0
13, 89.4, 750.0
14, 88.0, 738.0
15, 88.2, 740.0
16, 89.5, 751.0
17, 87.9, 737.0
18, 89.0, 747.0
19, 89.2, 749.0
20, 88.8, 744.0
21, 89.0, 747.0
22, 88.9, 746.0
23, 88.4, 741.0
24, 88.6, 743.0
25, 88.2, 740.0
26, 89.4, 750.0
27, 88.4, 741.0
28, 88.2, 740.0
29, 89.1, 748.0
30, 89.2, 749.0
31, 87.9, 737.0
32, 88.9, 746.0
33, 89.8, 753.0
34, 88.1, 739.0
35, 88.1, 739.0
36, 89.0, 747.0
37, 88.9, 746.0
38, 89.2, 749.0
39, 88.0, 738.0
40, 88.6, 743.0
41, 89.1, 748.0
42, 89.0, 747.0
43, 89.2, 749.0
44, 87.6, 735.0
45, 89.2, 749.0
46, 89.0, 747.0
47, 88.8, 744.0
48, 88.1, 739.0
49, 88.9, 746.0
50, 89.5, 751.0
51, 87.8, 736.0
52, 89.4, 750.0
53, 88.2, 740.0
54, 89.2, 749.0
55, 88.0, 738.0
56, 89.4, 750.0
57, 88.2, 740.0
58, 89.0, 747.0
59, 88.0, 738.0
60, 89.4, 750.0
61, 88.1, 739.0
62, 89.8, 753.0
63, 88.9, 746.0
64, 87.6, 735.0
65, 89.5, 751.0
66, 89.0, 747.0
67, 88.2, 740.0
68, 88.1, 739.0
69, 89.2, 749.0
70, 88.2, 740.0
71, 89.4, 750.0
72, 89.2, 749.0
73, 88.8, 744.0
74, 87.9, 737.0
75, 88.4, 741.0
76, 89.0, 747.0
77, 88.6, 743.0
78, 89.2, 749.0
79, 88.1, 739.0
80, 89.4, 750.0
81, 89.2, 749.0
82, 87.9, 737.0
83, 89.0, 747.0
84, 88.4, 741.0
85, 89.6, 752.0
86, 87.8, 736.0
87, 88.8, 744.0
88, 89.1, 748.0
89, 88.8, 744.0
90, 88.1, 739.0
91, 89.9, 754.0
92, 88.9, 746.0
93, 87.9, 737.0
94, 88.4, 741.0
95, 88.9, 746.0
96, 88.6, 743.0
97, 88.9, 746.0
98, 89.2, 749.0
99, 88.9, 746.0
100, 87.9, 737.0
101, 89.5, 751.0
102, 88.1, 739.0
103, 89.5, 751.0
104, 88.1, 739.0
105, 89.4, 750.0
106, 88.9, 746.0
107, 87.8, 736.0
108, 89.8, 753.0
109, 88.5, 742.0
110, 89.0, 747.0
111, 88.8, 744.0
112, 88.0, 738.0
113, 88.8, 744.0
114, 89.6, 752.0
115, 88.0, 738.0
116, 89.1, 748.0
117, 88.6, 743.0
118, 88.1, 739.0
119, 89.4, 750.0
120, 89.1, 748.0
121, 87.9, 737.0
122, 89.2, 749.0
123, 88.8, 744.0
124, 89.0, 747.0
125, 87.9, 737.0
126, 88.5, 742.0
127, 89.8, 753.0
128, 88.2, 740.0
129, 88.2, 740.0
130, 89.5, 751.0
131, 88.6, 743.0
132, 88.1, 739.0
133, 89.6, 752.0
134, 88.0, 738.0
135, 89.0, 747.0
136, 88.8, 744.0
137, 89.2, 749.0
138, 88.0, 738.0
139, 89.4, 750.0
140, 88.1, 739.0
141, 89.5, 751.0
142, 88.1, 739.0
143, 89.4, 750.0
144, 87.8, 736.0
145, 88.9, 746.0
146, 89.4, 750.0
147, 88.9, 746.0
148, 87.5, 734.0
149, 90.0, 755.0
150, 88.4, 741.0
151, 88.1, 739.0
152, 89.6, 752.0
153, 87.6, 735.0
154, 89.2, 749.0
155, 89.5, 751.0
156, 87.8, 736.0
157, 88.6, 743.0
158, 87.4, 733.0
159, 91.0, 763.0
160, 87.6, 735.0
161, 89.4, 750.0
162, 89.2, 749.0
163, 88.0, 738.0
164, 88.5, 742.0
165, 89.2, 749.0
166, 88.2, 740.0
167, 89.2, 749.0
168, 88.5, 742.0
169, 88.4, 741.0
170, 89.4, 750.0
171, 88.0, 738.0
172, 89.6, 752.0
173, 88.9, 746.0
174, 88.1, 739.0
175, 88.2, 740.0
176, 89.2, 749.0
177, 89.2, 749.0
178, 88.9, 746.0
179, 88.8, 744.0
180, 88.5, 742.0
181, 88.0, 738.0
182, 89.6, 752.0
183, 88.0, 738.0
184, 88.5, 742.0
185, 89.4, 750.0
186, 88.1, 739.0
187, 88.9, 746.0
188, 89.4, 750.0
189, 89.0, 747.0
190, 88.2, 740.0
191, 88.0, 738.0
192, 89.5, 751.0
193, 88.4, 741.0
194, 89.6, 752.0
195, 87.9, 737.0
196, 89.0, 747.0
197, 88.5, 742.0
198, 88.6, 743.0
199, 89.5, 751.0
200, 88.0, 738.0
201, 88.8, 744.0
202, 89.0, 747.0
203, 88.6, 743.0
204, 89.1, 748.0
205, 88.8, 744.0
206, 89.0, 747.0
207, 87.8, 736.0
208, 89.0, 747.0
209, 89.5, 751.0
210, 88.5, 742.0
211, 88.1, 739.0
212, 88.4, 741.0
213, 89.2, 749.0
214, 88.4, 741.0
215, 88.8, 744.0
216, 89.2, 749.0
217, 88.8, 744.0
218, 88.1, 739.0
219, 88.6, 743.0
220, 89.1, 748.0
221, 88.4, 741.0
222, 89.4, 750.0
223, 88.1, 739.0
224, 88.8, 744.0
225, 89.4, 750.0
226, 88.9, 746.0
227, 88.2, 740.0
228, 89.4, 750.0
229, 87.9, 737.0
230, 89.1, 748.0
231, 88.2, 740.0
232, 89.9, 754.0
233, 88.0, 738.0
234, 88.1, 739.0
235, 89.5, 751.0
236, 88.8, 744.0
237, 88.1, 739.0
238, 89.4, 750.0
239, 88.5, 742.0
240, 89.4, 750.0
241, 88.1, 739.0
242, 89.0, 747.0
243, 87.9, 737.0
244, 89.5, 751.0
245, 89.2, 749.0
246, 88.5, 742.0
247, 88.9, 746.0
248, 87.9, 737.0
249, 88.5, 742.0
250, 89.4, 750.0
251, 89.4, 750.0
252, 87.4, 733.0
253, 89.2, 749.0
254, 89.5, 751.0
255, 88.5, 742.0
256, 88.5, 742.0
257, 89.1, 748.0
258, 88.1, 739.0
259, 89.4, 750.0
260, 87.8, 736.0
261, 89.2, 749.0
262, 88.8, 744.0
263, 89.1, 748.0
264, 87.8, 736.0
265, 89.8, 753.0
266, 87.6, 735.0
267, 89.1, 748.0
268, 88.6, 743.0
269, 88.5, 742.0
270, 88.6, 743.0
271, 89.2, 749.0
272, 88.8, 744.0
273, 88.5, 742.0
274, 89.5, 751.0
275, 88.1, 739.0
276, 89.2, 749.0
277, 88.2, 740.0
278, 89.4, 750.0
279, 88.4, 741.0
280, 88.0, 738.0
281, 89.4, 750.0
282, 88.1, 739.0
283, 89.2, 749.0
