Interval,Transfer,Bandwidth
0,62.6,525
1,60.1,504
2,60.4,506
3,60.1,504
4,60.5,508
5,60.1,504
6,60,503
7,59.6,500
8,59.6,500
9,59.4,498
10,59.8,501
11,59.6,500
12,58.4,490
13,59.6,500
14,59.4,498
15,59,495
16,58.6,492
17,58.8,493
18,58.8,493
19,58.4,490
20,58,487
21,58.8,493
22,58.1,488
23,57.6,483
24,58.4,490
25,57.6,483
26,57.8,484
27,57.6,483
28,57.1,479
29,57.6,483
30,56.5,474
31,57.2,480
32,56.9,477
33,57.5,482
34,56.4,473
35,56.4,473
36,56.6,475
37,56.4,473
38,56.5,474
39,55.8,468
40,56.1,471
41,56.1,471
42,55.8,468
43,55.1,462
44,56,470
45,55.2,463
46,54.8,459
47,55.2,463
48,54.9,460
49,55.5,466
50,54.2,455
51,54.6,458
52,54.6,458
53,54,453
54,54.5,457
55,54.2,455
56,53.8,451
57,53.9,452
58,53.4,448
59,53.8,451
60,53.6,450
61,52.9,444
62,52.9,444
63,52.8,442
64,53.1,446
65,53.1,446
66,52.1,437
67,52.5,440
68,52.2,438
69,51.8,434
70,52.4,439
71,51.4,431
72,51.6,433
73,52.1,437
74,51.1,429
75,50.9,427
76,51,428
77,51.2,430
78,50.4,423
79,51.2,430
80,50.4,423
81,49.8,417
82,50.1,420
83,50,419
84,50.1,420
85,49.4,414
86,49.8,417
87,49.4,414
88,49.4,414
89,49,411
90,48.5,407
91,49,411
92,48.5,407
93,47.8,401
94,48.5,407
95,47.9,402
96,47.6,400
97,48.1,404
98,47.4,397
99,47.2,396
100,46.6,391
101,47.4,397
102,46.8,392
103,46.2,388
104,46.4,389
105,46.5,390
106,45.4,381
107,46.1,387
108,45.4,381
109,45.2,380
110,45.8,384
111,44.9,376
112,44.9,376
113,44.1,370
114,45.1,379
115,43.9,368
116,43.6,366
117,44,369
118,43.5,365
119,43.2,363
120,43.5,365
121,42.5,357
122,42.9,360
123,42.4,355
124,42.2,354
125,42,352
126,41.6,349
127,41.4,347
128,41.5,348
129,41.1,345
130,40.8,342
131,40.4,339
132,40.5,340
133,39.8,333
134,39.6,332
135,39.6,332
136,39.5,331
137,39,327
138,38.4,322
139,38.4,322
140,38.4,322
141,37.6,316
142,37.5,315
143,37.2,312
144,37,310
145,36.5,306
146,36.1,303
147,35.8,300
148,35.8,300
149,35.6,299
150,35,294
151,34.2,287
152,33.9,284
153,34.5,289
154,33.4,280
155,32.6,274
156,32.6,274
157,32.2,271
158,32,268
159,31.4,263
160,31.1,261
161,29.9,251
162,30.6,257
163,29.2,245
164,28.8,241
165,28.1,236
166,28,235
167,27.4,230
168,26.5,222
169,25.9,217
170,24.9,209
171,24.2,203
172,17.1,143
173,8.88,74.4
174,18,151
175,12.4,104
176,16.2,136
177,20.4,171
178,19.4,163
179,16.6,139
180,14.8,124
181,4.75,39.8
182,3.88,32.5
183,3.12,26.2
184,3.88,32.5
185,3.88,32.5
186,3.88,32.5
187,3.88,32.5
188,3.5,29.4
189,3.88,32.5
190,3.88,32.5
191,4,33.6
192,3.88,32.5
193,3.5,29.4
194,3.88,32.5
195,3.88,32.5
196,3.88,32.5
197,3.88,32.5
198,3.12,26.2
199,4.25,35.7
200,3.88,32.5
201,3.12,26.2
202,3.88,32.5
203,3.88,32.5
204,3.88,32.5
205,4,33.6
206,3,25.2
207,4.25,35.7
208,3.88,32.5
209,3.88,32.5
