Interval,Transfer,Bandwidth
0,62.9,527
1,60.4,506
2,59.6,500
3,60.9,511
4,59.6,500
5,60.2,505
6,60.2,505
7,59.4,498
8,59.8,501
9,59.5,499
10,59.8,501
11,59.4,498
12,59.2,497
13,59.1,496
14,59,495
15,58.8,493
16,58.9,494
17,58.6,492
18,58.8,493
19,58.9,494
20,57.9,485
21,58.8,493
22,58.2,489
23,58.1,488
24,57.8,484
25,57.5,482
26,57.8,484
27,57.2,480
28,57.6,483
29,57.2,480
30,57.8,484
31,56.6,475
32,57.2,480
33,56.9,477
34,56.4,473
35,57,478
36,56.5,474
37,56,470
38,56.2,472
39,56,470
40,56.2,472
41,56.1,471
42,55.5,466
43,55.8,468
44,55.1,462
45,55.9,469
46,54.9,460
47,55.4,465
48,54.9,460
49,54.5,457
50,54.9,460
51,54.4,456
52,54.8,459
53,54.6,458
54,54.1,454
55,53.5,449
56,54.5,457
57,53.4,448
58,53.6,450
59,54,453
60,53,445
61,53.6,450
62,53,445
63,53.1,446
64,52.8,442
65,52,436
66,52.6,441
67,52.4,439
68,52.2,438
69,52.4,439
70,51.6,433
71,51.6,433
72,51.9,435
73,51.6,433
74,51.9,435
75,50.5,424
76,51.4,431
77,51,428
78,50.4,423
79,50.9,427
80,50.5,424
81,50,419
82,50.1,420
83,50.4,423
84,49.5,415
85,50,419
86,49.1,412
87,49.6,416
88,48.9,410
89,49.4,414
90,48.4,406
91,48.8,409
92,48.9,410
93,48.4,406
94,48.2,405
95,47.4,397
96,48.2,405
97,47.9,402
98,46.8,392
99,47.4,397
100,47.5,398
101,47,394
102,46.2,388
103,46.9,393
104,46.2,388
105,46.1,387
106,46.4,389
107,45.2,380
108,45.4,381
109,46.1,387
110,45.1,379
111,44.8,375
112,44.6,374
113,44.5,373
114,44.6,374
115,44.4,372
116,44,369
117,43.6,366
118,43.5,365
119,43.6,366
120,42.9,360
121,42.4,355
122,43.4,364
123,42.5,357
124,42.1,353
125,41.8,350
126,41.9,351
127,41.5,348
128,41,344
129,41.1,345
130,40.5,340
131,40.4,339
132,40.6,341
133,40.4,339
134,39.6,332
135,39.2,329
136,39.2,329
137,39,327
138,38.5,323
139,38.4,322
140,38.4,322
141,38,319
142,37,310
143,37.1,311
144,37,310
145,36.5,306
146,36.8,308
147,36,302
148,35.2,296
149,35.5,298
150,35,294
151,34.4,288
152,34.5,289
153,33.2,279
154,33.8,283
155,32.9,276
156,32.6,274
157,32.6,274
158,32,268
159,31.1,261
160,30.5,256
161,30.4,255
162,30.5,256
