Interval,Transfer,Bandwidth
0,123,1030
1,121,1020
2,121,1020
3,121,1020
4,121,1010
5,121,1010
6,119,1000
7,121,1020
8,120,1010
9,119,998
10,121,1010
11,120,1010
12,120,1010
13,120,1010
14,120,1000
15,120,1000
16,120,1010
17,120,1010
18,120,1010
19,120,1010
20,120,1010
21,120,1000
22,121,1010
23,119,996
24,120,1000
25,120,1010
26,119,1000
27,119,1000
28,120,1010
29,119,1000
30,119,1000
31,119,998
32,119,998
33,119,999
34,120,1000
35,118,993
36,120,1000
37,118,993
38,119,995
39,119,997
40,119,997
41,118,991
42,119,996
43,119,995
44,118,990
45,118,993
46,118,992
47,118,994
48,118,990
49,118,986
50,118,988
51,118,992
52,118,987
53,118,990
54,117,984
55,118,988
56,116,969
57,118,988
58,117,985
59,117,984
60,117,979
61,117,985
62,117,980
63,117,981
64,116,975
65,117,980
66,118,986
67,116,977
68,116,973
69,117,981
70,116,976
71,116,974
72,116,977
73,116,969
74,116,972
75,116,975
76,116,970
77,116,973
78,116,969
79,115,966
80,116,971
81,116,971
82,115,962
83,115,963
84,115,966
85,115,964
86,115,968
87,114,956
88,115,965
89,115,965
90,115,963
91,114,956
92,114,958
93,114,958
94,114,953
95,114,957
96,114,953
97,115,963
98,113,949
99,113,951
100,114,955
101,113,951
102,114,952
103,113,945
104,113,951
105,113,946
106,113,949
107,113,945
108,113,946
109,113,947
110,112,940
111,112,943
112,112,940
113,112,943
114,111,933
115,112,941
116,112,935
117,112,940
118,111,933
119,112,936
120,111,930
121,112,935
122,110,927
123,111,929
124,111,931
125,111,930
126,110,926
127,110,925
128,110,925
129,110,919
130,111,928
131,109,916
132,110,921
133,110,923
134,108,910
135,109,914
136,109,914
137,110,919
138,108,907
139,109,914
140,108,909
141,108,906
142,107,897
143,108,904
144,107,901
145,106,891
146,108,906
147,107,900
148,107,899
149,107,895
150,106,887
151,106,893
152,107,898
153,105,883
154,107,895
155,105,879
156,106,885
157,105,884
158,105,882
159,104,876
160,104,868
161,105,878
162,103,867
163,103,863
164,104,871
165,103,861
166,102,854
167,102,856
168,102,856
169,102,852
170,100,840
171,101,849
172,99.4,834
173,99.1,832
174,99.4,834
175,97.5,818
176,97,814
177,96.8,812
178,92.5,776
179,88.5,742
180,87.8,736
181,89.6,752
182,88.5,742
183,88.2,740
184,89.4,750
185,88.5,742
186,88.5,742
187,89.5,751
188,88.6,743
189,88.1,739
190,89.2,749
191,88.6,743
192,88.6,743
193,88.4,741
194,89.6,752
195,88.4,741
196,88.1,739
197,89.4,750
198,88,738
199,89.6,752
200,88.1,739
201,88.5,742
202,89.1,748
203,88.4,741
204,89.4,750
205,88,738
206,89.6,752
207,88.2,740
208,88.6,743
209,88.9,746
210,88.5,742
211,89.5,751
212,88.2,740
213,89.2,749
214,88.4,741
215,88.4,741
216,88.1,739
217,88.9,746
218,89.8,753
219,88.1,739
220,89.4,750
221,88.2,740
222,88.1,739
223,89.5,751
224,88.2,740
225,89.5,751
226,87.6,735
227,89.4,750
228,88.4,741
229,89.2,749
230,89,747
231,87.9,737
232,89.8,753
233,88,738
234,88.5,742
235,89.5,751
236,88.1,739
237,88.6,743
238,89.6,752
239,87.8,736
240,89.6,752
241,88,738
242,88.6,743
243,89.6,752
244,87.8,736
245,89.2,749
246,89.1,748
247,88.2,740
248,88.2,740
249,89.6,752
250,88,738
251,89.5,751
252,88.4,741
253,88.2,740
254,88.5,742
255,89.6,752
256,88.2,740
257,89.2,749
258,88.6,743
259,88.4,741
260,89.5,751
261,87.9,737
262,89.1,748
263,89.1,748
264,88.1,739
265,88.5,742
266,89.2,749
267,88.4,741
268,89.4,750
269,88.4,741
270,88.4,741
271,88.8,744
272,88.5,742
273,89.1,748
274,88.2,740
275,88.6,743
276,89.8,753
277,88,738
278,89.2,749
279,88.2,740
280,88.5,742
281,89.1,748
282,88.4,741
283,89.5,751
284,88.2,740
285,88,738
286,90.1,756
287,88,738
288,88.4,741
289,89.6,752
290,88.5,742
291,88.1,739
292,89.5,751
293,88.1,739
294,89.6,752
295,88.5,742
296,87.9,737
297,89.6,752
298,88.6,743
299,88.1,739
300,89.6,752
301,88.8,744
302,88.5,742
303,88.1,739
304,89.5,751
305,88.1,739
306,89.5,751
307,88.2,740
308,88.2,740
309,89.1,748
310,88.4,741
311,89.6,752
312,88.2,740
313,89.2,749
314,88.4,741
315,88.1,739
316,89.5,751
317,87.9,737
318,89.8,753
319,88.2,740
320,88.2,740
321,89.2,749
322,88.6,743
323,88.5,742
324,89.5,751
325,88.4,741
326,88.6,743
327,88.4,741
328,89.5,751
329,88.4,741
330,89.4,750
331,88.4,741
332,88.1,739
333,89.4,750
334,88,738
335,89.4,750
336,88.4,741
337,88.4,741
338,89.8,753
339,87.8,736
340,89.5,751
341,88.1,739
342,88.6,743
343,88.5,742
344,89.1,748
345,89.5,751
346,88.2,740
347,89.2,749
348,88.4,741
349,88,738
350,89.6,752
351,88.4,741
352,88.4,741
353,89.2,749
354,88.5,742
355,88.8,744
356,89.5,751
357,88.2,740
358,88,738
359,89.6,752
360,88,738
361,89.8,753
362,88.4,741
363,87.9,737
364,89.6,752
365,88.4,741
366,89.5,751
367,87.9,737
368,89.5,751
369,88.4,741
370,88.5,742
371,88.4,741
372,89.4,750
373,88.4,741
374,88.4,741
375,89.5,751
376,88.2,740
377,89.4,750
378,88.2,740
379,88.2,740
380,89.5,751
381,87.9,737
382,89.8,753
383,88.4,741
384,88,738
385,89.6,752
386,88.1,739
387,88.5,742
388,89.6,752
389,88,738
390,89.8,753
391,88.2,740
392,88.4,741
393,89.2,749
394,88.2,740
395,88.4,741
396,89.8,753
397,88.1,739
398,88.5,742
399,89.8,753
400,87.9,737
401,89.5,751
402,88.4,741
403,88,738
404,89.2,749
405,88.6,743
406,88.8,744
407,88.9,746
408,88.2,740
409,89.8,753
410,88,738
411,88.5,742
412,89.6,752
413,88.1,739
414,89.4,750
415,88.4,741
416,88.1,739
417,88.9,746
418,88.8,744
419,88.8,744
420,89.1,748
421,88.9,746
422,88.1,739
423,89.8,753
424,88.2,740
425,88,738
426,89.4,750
427,88.4,741
428,89.5,751
429,88.9,746
430,88.4,741
431,87.9,737
432,89.4,750
433,88.4,741
434,89.6,752
435,87.9,737
436,89.6,752
437,88.2,740
438,88.2,740
439,89.2,749
440,88.2,740
441,89.6,752
442,88.2,740
443,88.5,742
444,89.2,749
445,88.1,739
446,89.5,751
447,88.6,743
448,88.1,739
449,88.6,743
450,89.5,751
451,88.6,743
452,88.1,739
453,88.4,741
454,88.6,743
455,89.4,750
456,88.2,740
457,89.5,751
458,88.2,740
459,89.6,752
460,88,738
461,88.9,746
462,88.4,741
463,89.6,752
464,87.9,737
465,89.4,750
466,88.1,739
467,89.6,752
468,87.5,734
469,89.5,751
470,88.4,741
471,88.5,742
472,89.6,752
473,87.9,737
474,89.8,753
475,87.8,736
476,88.8,744
477,88.9,746
478,89.2,749
479,88.5,742
480,88.4,741
481,89.1,748
482,88.8,744
483,89.2,749
484,88.4,741
485,88.4,741
486,88.4,741
487,89.2,749
488,88.4,741
489,88.6,743
490,89.6,752
491,88.6,743
492,88.5,742
493,88.4,741
494,89.5,751
495,88.4,741
496,87.9,737
497,89.6,752
498,88.8,744
499,88.2,740
500,88.4,741
501,89.8,753
502,88.8,744
503,88.4,741
504,89.2,749
505,87.8,736
506,89.5,751
507,88.2,740
508,88.2,740
509,89.4,750
510,88.2,740
511,89.5,751
512,88.2,740
513,89.4,750
514,88,738
515,88.4,741
516,89.2,749
517,88.4,741
518,89.5,751
519,88.4,741
520,88.4,741
521,89.4,750
522,88.2,740
523,89.5,751
524,88.4,741
525,88.4,741
526,88.4,741
527,89.6,752
528,88.2,740
529,89.2,749
530,88.4,741
531,88.1,739
532,89.5,751
533,88.4,741
534,88.5,742
535,88.5,742
536,89.2,749
537,88.2,740
538,89.5,751
539,88,738
540,89.6,752
541,88.2,740
542,89.4,750
543,88.4,741
544,89.1,748
545,88.2,740
546,88.4,741
547,89.4,750
548,87.9,737
549,89.6,752
550,88.2,740
551,88.2,740
552,89.5,751
553,88.1,739
554,89.6,752
555,87.9,737
556,89.5,751
557,88.2,740
558,89.4,750
559,88.4,741
560,88.9,746
561,88.4,741
562,88.5,742
563,88.9,746
564,88.6,743
565,88.6,743
566,88.9,746
567,88.8,744
568,88.2,740
569,89.6,752
570,88.2,740
571,89.4,750
572,88.1,739
573,89.1,748
574,88,738
575,89.4,750
576,88.1,739
577,89.2,749
578,88.8,744
579,88.1,739
580,89.4,750
581,89.1,748
582,88.5,742
583,88.4,741
584,89.2,749
585,88.1,739
586,89.5,751
587,88.4,741
588,88.1,739
589,89.4,750
590,88,738
591,89.8,753
592,88.5,742
593,88.1,739
594,89.6,752
595,88.4,741
596,89,747
597,88.1,739
598,88.4,741
599,89.2,749
600,88.2,740
601,89.5,751
602,88.2,740
603,88.6,743
604,88.9,746
