Interval,Transfer,Bandwidth
0,124,1040
1,121,1020
2,119,996
3,121,1010
4,120,1010
5,121,1010
6,120,1010
7,121,1020
8,119,996
9,118,988
10,120,1010
11,119,1000
12,120,1010
13,116,976
14,118,990
15,114,955
16,119,1000
17,118,992
18,116,975
19,118,989
20,119,1000
21,119,1000
22,119,999
23,118,994
24,118,994
25,114,957
26,116,969
27,119,997
28,119,997
29,119,999
30,120,1010
31,119,999
32,119,998
33,119,998
34,118,994
35,119,999
36,119,1000
37,118,991
38,120,1000
39,118,990
40,118,988
41,118,991
42,118,992
43,118,994
44,118,993
45,118,992
46,118,992
47,118,986
48,118,991
49,116,976
50,119,995
51,118,990
52,118,988
53,116,975
54,117,984
55,118,989
56,117,983
57,118,991
58,117,978
59,118,988
60,117,981
61,117,979
62,118,987
63,116,976
64,117,980
65,117,979
66,117,981
67,115,962
68,116,973
69,116,975
70,116,974
71,117,978
72,116,973
73,115,964
74,115,963
75,112,944
76,117,978
77,115,968
78,115,965
79,115,965
80,116,974
81,113,948
82,115,966
83,115,968
84,114,957
85,111,934
86,112,942
87,115,962
88,114,956
89,114,956
90,113,950
91,115,964
92,114,956
93,112,944
94,110,926
95,113,951
96,112,938
97,113,946
98,114,952
99,114,953
100,114,956
101,113,947
102,113,947
103,112,941
104,114,954
105,113,949
106,112,936
107,112,942
108,113,948
109,113,948
110,113,945
111,112,943
112,113,947
113,112,943
114,112,935
115,112,938
116,112,941
117,112,938
118,112,941
119,112,936
120,112,937
121,111,930
122,111,933
123,111,933
124,111,932
125,112,935
126,111,930
127,110,923
128,111,932
129,110,920
130,110,926
131,110,919
132,110,925
133,109,915
134,110,924
135,110,924
136,107,897
137,110,921
138,109,912
139,109,911
140,107,897
141,109,912
142,109,913
143,108,908
144,108,910
145,108,904
146,107,895
147,108,906
148,106,891
149,106,886
150,107,898
151,107,898
152,107,897
153,106,891
154,104,875
155,106,887
156,105,880
157,105,879
158,104,873
159,105,880
160,104,873
161,105,884
162,104,869
163,104,873
164,105,879
165,104,871
166,102,858
167,103,867
168,102,860
169,103,864
170,101,847
171,102,856
172,102,851
173,102,855
174,101,844
175,100,841
176,99.5,835
177,99.2,833
178,99.8,837
179,98,822
180,96.9,813
181,95.8,803
182,95.5,801
183,90.9,762
184,88.1,739
185,88.4,741
186,89,747
187,88.1,739
188,89,747
189,88.8,744
190,89.6,752
191,87.2,732
192,90.1,756
193,88.4,741
194,88.8,744
195,88.5,742
196,89,747
197,88.5,742
198,88.4,741
199,88.9,746
200,88.5,742
201,89.1,748
202,88.5,742
203,88.5,742
204,89.2,749
205,88.2,740
206,89.4,750
207,88.6,743
208,88.2,740
209,89.1,748
210,88,738
211,89.2,749
212,89.2,749
213,87.9,737
214,88.8,744
215,89.4,750
216,87.9,737
217,89.4,750
218,88.6,743
219,88.9,746
220,88.6,743
221,88,738
222,89,747
223,88.6,743
224,89.1,748
225,89,747
226,88.6,743
227,88,738
228,89.4,750
229,88.1,739
230,88.8,744
231,89.1,748
232,89,747
233,88.8,744
234,88.1,739
235,88.9,746
236,89,747
237,87.6,735
238,89.4,750
239,89.1,748
240,89,747
241,87.9,737
242,88.9,746
243,89.5,751
244,88.2,740
245,88.1,739
246,89.6,752
247,88.9,746
248,88.2,740
249,88.8,744
250,88.1,739
251,89.2,749
252,88.9,746
253,88.8,744
254,88.5,742
255,88.5,742
256,88.2,740
257,89.2,749
258,88.6,743
259,89,747
260,88.2,740
261,88.8,744
262,88.5,742
263,88.8,744
264,89.5,751
265,88.1,739
266,88.5,742
267,89.8,753
268,88.2,740
269,89.1,748
270,88.2,740
271,89.1,748
272,88,738
273,89.5,751
274,88.1,739
275,88.8,744
276,88.6,743
277,88.8,744
278,89.1,748
279,88.9,746
280,88.5,742
281,88.9,746
282,87.8,736
283,89.2,749
284,88.8,744
285,88.6,743
286,88.6,743
287,88.9,746
288,88.4,741
289,88.9,746
290,88.6,743
291,88.6,743
292,88.8,744
293,88.5,742
294,89.2,749
295,88.8,744
296,88.5,742
297,89,747
298,88.6,743
299,87.1,731
300,90.4,758
301,88.1,739
302,88.9,746
303,88.6,743
304,88.9,746
305,88.9,746
306,88.5,742
307,88.8,744
308,89.5,751
309,88.1,739
310,88.8,744
311,88.4,741
312,89,747
313,88.6,743
314,89,747
315,88.4,741
316,89,747
317,89,747
318,88.1,739
319,88.6,743
320,89,747
321,87.5,734
322,90.2,757
323,88.4,741
324,88.5,742
325,88.9,746
326,89.2,749
327,87.8,736
328,89.6,752
329,88.6,743
330,88.6,743
331,89,747
332,88.1,739
333,88.6,743
334,88.8,744
335,89,747
336,88.8,744
337,88.8,744
338,88.6,743
339,88.8,744
340,88.2,740
341,89.6,752
342,88.4,741
343,88.6,743
344,88.4,741
345,88.6,743
346,89.2,749
347,88.6,743
348,89.1,748
349,88.8,744
350,86.9,729
351,89.5,751
352,89.6,752
353,88.1,739
354,89.5,751
355,87.5,734
356,89.8,753
357,88,738
358,89.6,752
359,87.5,734
360,89.5,751
361,88.5,742
362,88.9,746
363,88.4,741
364,88.6,743
365,88.5,742
366,89,747
367,89.5,751
368,88.1,739
369,88.6,743
370,89,747
371,88.4,741
372,88.8,744
373,88.2,740
374,89.1,748
375,89.2,749
376,88.6,743
377,88,738
378,88.8,744
379,89.6,752
380,87,730
381,89.5,751
382,89.6,752
383,87.9,737
384,89.2,749
385,88.2,740
386,89.1,748
387,88.8,744
388,88.8,744
389,89.1,748
390,87.6,735
391,89.2,749
392,89.2,749
393,87.8,736
394,88.8,744
395,88.5,742
396,89,747
397,88.8,744
398,87.2,732
399,90.5,759
400,88.2,740
401,89.2,749
402,89.1,748
403,87.9,737
404,89.2,749
405,85.6,718
406,90.2,757
407,90.4,758
408,88,738
409,88.8,744
410,89.2,749
411,89,747
412,88,738
413,89.5,751
414,88.6,743
415,86.6,727
416,90.5,759
417,88.5,742
418,88.2,740
419,89.1,748
420,88.8,744
421,88.4,741
422,89,747
423,89.4,750
424,88.5,742
425,88.9,746
426,88.4,741
427,88.9,746
428,88.8,744
429,88.8,744
430,88,738
431,89,747
432,89.1,748
433,88,738
434,89.1,748
435,88.2,740
436,88.8,744
437,88.9,746
438,89.2,749
439,88.1,739
440,89.2,749
441,88.1,739
442,89,747
443,88.8,744
444,88.8,744
445,89.2,749
446,88.4,741
447,88.2,740
448,88.5,742
449,88.9,746
450,89.6,752
451,88.5,742
452,88.4,741
453,88.1,739
454,89.9,754
455,88,738
456,89,747
457,89,747
458,88.5,742
459,87.9,737
460,89.8,753
461,88,738
462,89.2,749
463,88,738
464,89.1,748
465,89.1,748
466,88.6,743
467,88.6,743
468,89.1,748
469,87.6,735
470,89.6,752
471,88.1,739
472,88.6,743
473,89.1,748
474,88.4,741
475,89,747
476,88.8,744
477,88.6,743
478,88.6,743
479,88.4,741
480,88.8,744
481,88.2,740
482,89.4,750
483,88.9,746
484,89,747
485,88.2,740
486,88.8,744
487,89.2,749
488,88.4,741
489,88.5,742
490,88.5,742
491,89.1,748
492,89,747
493,88.4,741
494,88.2,740
495,89.2,749
496,88.9,746
497,89.1,748
498,88.6,743
499,87.9,737
500,89.2,749
501,87.6,735
502,89.5,751
503,88,738
504,89.5,751
505,88.6,743
506,87.4,733
507,90.6,760
508,88.6,743
509,88.4,741
510,88.6,743
511,88.6,743
512,88.8,744
513,88.5,742
514,89,747
515,88.5,742
516,89.2,749
517,88.9,746
518,88.2,740
519,88.4,741
520,89.2,749
521,88.5,742
522,88.2,740
523,87.9,737
524,90.2,757
525,88.6,743
526,89,747
527,87.9,737
528,89,747
529,89,747
530,88.2,740
531,88.1,739
532,90.1,756
533,87.9,737
534,89.5,751
535,87.9,737
536,89.2,749
537,88.6,743
538,88.6,743
539,89.2,749
540,87.8,736
541,89.1,748
542,89,747
543,88.9,746
544,87.1,731
545,90.2,757
546,88.4,741
547,89.2,749
548,88.4,741
549,88.9,746
550,88.6,743
551,88,738
552,89.6,752
553,88,738
554,88.6,743
555,88.9,746
556,88.4,741
557,89.2,749
558,88.4,741
559,88.5,742
560,89,747
561,89.1,748
562,88.5,742
563,89.2,749
564,88,738
565,89.1,748
566,88.6,743
567,88.8,744
568,87.9,737
569,90,755
570,87.4,733
571,89.2,749
572,88.9,746
573,88.6,743
574,88.6,743
575,88.5,742
576,89.2,749
577,88.5,742
578,89.4,750
579,88,738
580,89.1,748
581,88,738
582,88.5,742
583,89.9,754
584,88,738
585,89.4,750
586,88.2,740
587,89.2,749
588,88.9,746
589,88.6,743
590,87.6,735
591,89.9,754
592,88.4,741
593,88.2,740
594,88.8,744
595,88.9,746
596,88.6,743
597,88.5,742
598,88.8,744
599,87.9,737
600,90.4,758
601,88.2,740
602,89,747
603,88.2,740
604,88.9,746
605,88,738
606,89.4,750
607,87.1,731
608,89.9,754
609,89.4,750
610,89,747
611,88.2,740
612,89.1,748
613,88.2,740
614,88.6,743
615,89,747
616,89.1,748
617,88.2,740
618,89.1,748
619,88,738
620,88.5,742
621,89.4,750
622,88.1,739
623,89.1,748
624,89.2,749
625,88.2,740
626,88.1,739
627,89.4,750
628,88.8,744
629,88.9,746
630,87.5,734
631,90,755
632,87.8,736
633,87.9,737
634,89.6,752
635,89.4,750
636,88,738
637,88.1,739
638,89.4,750
639,88.9,746
640,89.2,749
641,88.2,740
642,89,747
643,88.4,741
644,88.4,741
645,89.4,750
646,87.1,731
647,90.2,757
648,89.2,749
649,88.4,741
650,88.5,742
651,88.9,746
652,88.6,743
653,88.8,744
654,89.1,748
655,88,738
656,89.1,748
657,88.8,744
658,88,738
659,88.6,743
660,89.6,752
661,88.9,746
662,87.9,737
663,89.4,750
664,88.8,744
665,88.8,744
666,87.8,736
667,89.4,750
668,88.2,740
669,89.5,751
670,87.8,736
671,89.4,750
672,88.6,743
673,87.5,734
674,89.8,753
675,88.5,742
676,89,747
677,89.1,748
678,87.9,737
679,89.8,753
680,87.8,736
681,88.8,744
682,88.6,743
683,89.4,750
684,88.8,744
685,89,747
686,88.4,741
687,88.8,744
688,88.8,744
689,88.6,743
690,88.4,741
691,88.8,744
692,88.8,744
693,89,747
694,89.1,748
695,87.9,737
696,88.9,746
697,87.8,736
698,89.5,751
699,89.5,751
700,88.4,741
701,88,738
702,89.5,751
703,88.1,739
704,89.1,748
705,88.2,740
706,88.9,746
707,88.8,744
708,89.2,749
709,88,738
710,89,747
711,88.8,744
712,89.1,748
713,88.1,739
714,89,747
715,88.4,741
716,88.9,746
717,88.9,746
718,88.6,743
719,88.6,743
720,89.4,750
721,88.1,739
722,88.6,743
723,87.6,735
724,90,755
725,89.4,750
726,88,738
727,89.1,748
728,88.9,746
729,88,738
730,89.2,749
731,88.6,743
732,88.2,740
733,89,747
734,88.8,744
735,88.5,742
736,89.2,749
737,88.4,741
738,88.2,740
739,89.6,752
740,88.6,743
741,88.2,740
742,89.1,748
743,88.2,740
744,88.8,744
745,88.6,743
746,89.1,748
747,88.8,744
748,88,738
749,89.5,751
750,88.6,743
751,88.9,746
752,88.1,739
753,89.2,749
754,88.8,744
755,87.9,737
756,89,747
757,89,747
758,88.6,743
759,88.5,742
760,88.4,741
761,89.2,749
762,89,747
763,88.4,741
764,89,747
765,88.1,739
766,89.5,751
767,88.6,743
768,88.1,739
769,89.1,748
770,88.2,740
771,89.2,749
772,89,747
773,87.8,736
774,88.9,746
775,88.4,741
776,89.8,753
777,88,738
778,89.1,748
779,87.4,733
780,89.4,750
781,88.9,746
782,89.2,749
783,88.1,739
784,88.8,744
785,89.8,753
786,88.5,742
787,87.8,736
788,88.9,746
789,89,747
790,89.1,748
791,88.1,739
792,88.8,744
793,89.5,751
794,88.2,740
795,88.6,743
796,88.2,740
797,89,747
798,88.1,739
799,90,755
800,88.4,741
801,88.6,743
802,88.9,746
803,89,747
804,87.9,737
805,89,747
806,88.6,743
807,88.8,744
808,88.5,742
809,89,747
810,89.2,749
811,88.1,739
812,88.6,743
813,88.4,741
814,88.2,740
815,90.1,756
816,86.9,729
817,89.8,753
818,89.5,751
819,86.6,727
820,90.2,757
821,88.8,744
822,88.6,743
823,88.6,743
824,88.9,746
825,88.5,742
826,86.5,726
827,91.1,764
828,88.1,739
829,89.1,748
830,87.8,736
831,90.5,759
832,88.8,744
833,88.8,744
834,88.6,743
835,88.5,742
836,85.9,720
837,90.9,762
838,88.8,744
839,88.4,741
840,89.2,749
841,89.4,750
842,86.4,725
843,90.8,761
844,88.4,741
845,89,747
846,88.8,744
847,88.8,744
848,88.1,739
849,89.1,748
850,89.2,749
851,88,738
852,88.6,743
853,89,747
854,88.4,741
855,89.5,751
856,87.9,737
857,89.1,748
858,89.1,748
859,88.6,743
860,88.1,739
861,89.5,751
862,88.2,740
863,87.8,736
864,89.5,751
865,88.6,743
866,88.8,744
867,88.8,744
868,88.2,740
869,89,747
870,88.6,743
871,88.8,744
872,89.2,749
873,88.4,741
874,88.6,743
875,89.1,748
876,89,747
877,88.6,743
878,88.1,739
879,89.2,749
880,88,738
881,89,747
882,88.5,742
883,89,747
884,89.1,748
885,88.4,741
886,89.1,748
887,88.1,739
888,88.9,746
889,87.6,735
890,89.2,749
891,89.8,753
892,88.2,740
893,88.8,744
894,89.1,748
895,88.2,740
896,88.8,744
897,88.5,742
898,88.4,741
899,89.8,753
900,88,738
901,89.4,750
902,87.9,737
903,89.2,749
904,88.6,743
905,88.8,744
906,89.1,748
907,86.6,727
908,90.1,756
909,88.9,746
910,89.1,748
911,88.1,739
912,88,738
913,89.4,750
914,89.2,749
915,87.9,737
916,89.1,748
917,88.6,743
918,88.9,746
919,88.6,743
920,88.4,741
921,88.2,740
922,90,755
923,87.4,733
924,90,755
925,88.6,743
926,87.9,737
927,89.1,748
928,88.8,744
929,88.9,746
930,88.5,742
931,89.1,748
932,88.4,741
933,89.4,750
934,88.5,742
935,89,747
936,87.4,733
937,88.4,741
938,89.6,752
939,88.6,743
940,89.1,748
941,88.2,740
942,89.1,748
943,87.4,733
944,89.8,753
945,89.2,749
946,88.8,744
947,88.2,740
948,88.9,746
949,87.4,733
950,89.5,751
951,89.2,749
952,89,747
953,88.9,746
954,88,738
955,89,747
956,88.2,740
957,88.8,744
958,89.8,753
959,87.6,735
960,89.8,753
961,87.9,737
962,89.4,750
963,88,738
964,88.9,746
965,88.9,746
966,88.5,742
967,88.6,743
968,89.5,751
969,88.8,744
970,88.1,739
971,89.2,749
972,88.4,741
973,88.2,740
974,89.5,751
975,88,738
976,88.2,740
977,90,755
978,88.8,744
979,86.4,725
980,90.4,758
981,88.1,739
982,89,747
983,89.1,748
984,88.6,743
985,88.4,741
986,88.9,746
987,88.9,746
988,89.2,749
989,86,721
990,90.6,760
991,88.6,743
992,89.2,749
993,88.1,739
994,88.8,744
995,88.8,744
996,88.8,744
997,87.8,736
998,90.6,760
999,88.5,742
1000,88.1,739
1001,89.2,749
1002,88.6,743
1003,88.2,740
1004,89.1,748
1005,88.1,739
1006,88.9,746
1007,88.8,744
1008,89.5,751
1009,88.2,740
1010,88.5,742
1011,89,747
1012,88.2,740
1013,88.5,742
1014,89.1,748
1015,89.1,748
1016,88.9,746
1017,88.4,741
1018,88.6,743
1019,88.6,743
1020,88.9,746
1021,88.8,744
1022,88.6,743
1023,88.8,744
1024,88.6,743
1025,89.1,748
1026,87.9,737
1027,89.1,748
1028,89.2,749
1029,88.2,740
1030,89.2,749
1031,87.6,735
1032,88.8,744
1033,89.1,748
1034,88.2,740
1035,89.6,752
1036,87.4,733
1037,89.2,749
1038,88.8,744
1039,89,747
1040,89,747
1041,88.5,742
1042,88.4,741
1043,89.4,750
1044,88.4,741
1045,88.9,746
1046,88.2,740
1047,88.6,743
1048,89.4,750
1049,87.4,733
1050,89.5,751
1051,89.1,748
1052,88.4,741
1053,88.5,742
1054,88.9,746
1055,89,747
1056,89.1,748
1057,88.6,743
1058,87.9,737
1059,89.5,751
1060,87.9,737
1061,89.5,751
1062,88.1,739
1063,88.8,744
1064,89.5,751
1065,87.8,736
1066,88.9,746
1067,89.2,749
1068,88.6,743
1069,88.1,739
1070,88.8,744
1071,89.2,749
1072,88.8,744
1073,89.1,748
1074,87.8,736
1075,89.6,752
1076,88.5,742
1077,88.6,743
1078,88.4,741
1079,88.9,746
1080,88.5,742
1081,89.5,751
1082,88.1,739
1083,89.1,748
1084,88.2,740
1085,88.8,744
1086,88.4,741
1087,88,738
1088,90,755
1089,88.1,739
1090,88.9,746
1091,89.1,748
1092,88.6,743
1093,88.8,744
1094,88.2,740
1095,89.1,748
1096,88.2,740
1097,89.5,751
1098,87.9,737
1099,89.2,749
1100,87.9,737
1101,89.4,750
1102,88.5,742
1103,89.5,751
1104,88.1,739
1105,89.4,750
1106,88.8,744
1107,87.9,737
1108,89.1,748
1109,87.2,732
1110,90.1,756
1111,88.5,742
1112,88.4,741
1113,88.6,743
1114,88.8,744
1115,89.1,748
1116,89,747
1117,88.1,739
1118,89,747
1119,89.4,750
1120,88.1,739
1121,88.9,746
1122,88.2,740
1123,88.5,742
1124,88.9,746
1125,89.2,749
1126,88.8,744
1127,88.8,744
1128,89,747
1129,88.5,742
1130,87.6,735
1131,89,747
1132,87.6,735
1133,90.2,757
1134,88.4,741
1135,88.6,743
1136,89.5,751
1137,88.8,744
1138,88.4,741
1139,89,747
1140,88,738
1141,88.6,743
1142,89.4,750
1143,88.4,741
1144,88.6,743
1145,88.9,746
1146,88.6,743
1147,89.1,748
1148,88.8,744
1149,88.1,739
1150,89.6,752
1151,88.8,744
1152,88.6,743
1153,88,738
1154,89,747
1155,88.4,741
1156,88.9,746
1157,89.1,748
1158,88.2,740
1159,88.4,741
1160,88.8,744
1161,88.2,740
1162,89.2,749
1163,88.9,746
1164,89.2,749
1165,88.9,746
1166,87.9,737
1167,88.2,740
1168,89.4,750
1169,88.4,741
1170,88.8,744
1171,89.6,752
1172,88.8,744
1173,88.8,744
1174,88.6,743
1175,88.8,744
1176,87.9,737
1177,88.8,744
1178,89.1,748
1179,88.5,742
1180,89.1,748
1181,88.9,746
1182,87.2,732
1183,89.2,749
1184,89,747
1185,89.2,749
1186,88.6,743
1187,89,747
1188,88.1,739
1189,89.2,749
1190,88.9,746
1191,88.6,743
1192,88.8,744
1193,88.6,743
1194,87.8,736
1195,89.8,753
1196,88.5,742
1197,88,738
1198,89.1,748
1199,88.9,746
1200,88.6,743
1201,88.9,746
1202,88,738
1203,89.8,753
1204,88.5,742
1205,88.1,739
1206,88.6,743
1207,89.2,749
1208,88.4,741
1209,86.9,729
1210,90.2,757
1211,89.4,750
1212,88.1,739
1213,89.5,751
1214,87.5,734
1215,88.9,746
1216,89,747
1217,88.8,744
1218,86.6,727
1219,89.5,751
1220,90.6,760
1221,88.4,741
1222,87.5,734
1223,89.8,753
1224,88.4,741
1225,88.2,740
1226,89.4,750
1227,88.1,739
1228,90.1,756
1229,86.8,728
1230,90.8,761
1231,88.1,739
1232,88.5,742
1233,88.4,741
1234,89.4,750
1235,88.5,742
1236,89,747
1237,88.6,743
1238,88.6,743
1239,88.4,741
1240,89.2,749
